exoplanetLabel,image,constellationLabel
Kepler-10b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler10b%20artist.jpg,Dragon
Kepler-22b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-22%20diagram.jpg,Cygne
Kepler-9b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-9b%2C%20Jupiter%20size%20comparison.jpg,Lyre
55 Cancri f,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20concept%20shows%20four%20of%20the%20five%20planets%20that%20orbit%2055%20Cancri%2C%20a%20star%20much%20like%20our%20own.jpg,Cancer
55 Cancri b,http://commons.wikimedia.org/wiki/Special:FilePath/55%20Rho%20Cancri%201%20b.png,Cancer
55 Cancri d,http://commons.wikimedia.org/wiki/Special:FilePath/Jkv.55Cancri.d.png,Cancer
55 Cancri e,http://commons.wikimedia.org/wiki/Special:FilePath/Newneptune%20nasa%20big.jpg,Cancer
Kepler-11c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-11c%20%28Exoplanete%29.jpg,Cygne
61 Virginis b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%20concept%2061vir%20b.png,Vierge
Gliese 163 c,http://commons.wikimedia.org/wiki/Special:FilePath/Planets%20Under%20a%20Red%20Sun.jpg,Dorade
Gliese 176 b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20Gliese%20176%20b.png,Taureau
61 Virginis d,http://commons.wikimedia.org/wiki/Special:FilePath/ConceptJKV-61Vir-d.png,Vierge
HD 187123 c,http://commons.wikimedia.org/wiki/Special:FilePath/HD%20187123%20c.png,Cygne
HD 187123 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%20187123%20b.png,Cygne
Gliese 581 c,http://commons.wikimedia.org/wiki/Special:FilePath/Planetary%20System%20in%20Gliese%20581%20%28artist%27s%20impression%29.jpg,Balance
14 Herculis b,http://commons.wikimedia.org/wiki/Special:FilePath/14%20Herculis%20b%20%28Celestia%29.jpg,Hercule
14 Herculis c,http://commons.wikimedia.org/wiki/Special:FilePath/14%20Herculis%20c%20%28Celestia%29.jpg,Hercule
WASP-12b,http://commons.wikimedia.org/wiki/Special:FilePath/WASP-12b%20%28NASA%29.jpg,Cocher
18 Delphini b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%2018%20Delphini%20b.png,Dauphin
2M1207,http://commons.wikimedia.org/wiki/Special:FilePath/Primera%20foto%20planeta%20extrasolar%20ESO.jpg,Centaure
47 Ursae Majoris b,http://commons.wikimedia.org/wiki/Special:FilePath/47%20Ursae%20Majoris%20b%20v4.jpg,Grande Ourse
47 Ursae Majoris c,http://commons.wikimedia.org/wiki/Special:FilePath/47%20UMa%20c.jpg,Grande Ourse
51 Pegasi b,http://commons.wikimedia.org/wiki/Special:FilePath/51%20Pegasi%20b%20by%20Celestia.jpg,Pégase
HD 12661 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2012661%20b%20%28Celestia%29.jpg,Bélier
70 Virginis b,http://commons.wikimedia.org/wiki/Special:FilePath/70%20virginis%20b%20%28Celestia%29.jpg,Vierge
79 Ceti b,http://commons.wikimedia.org/wiki/Special:FilePath/Plan79ceti.jpg,Baleine
HD 209458 b,http://commons.wikimedia.org/wiki/Special:FilePath/Osirisplanet.jpg,Pégase
Gliese 581 e,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20581%20Artist%27s%20impression.jpg,Balance
94 Ceti b,http://commons.wikimedia.org/wiki/Special:FilePath/94%20Ceti%20b.jpg,Baleine
HD 147018 c,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20HD%20147018%20c.png,Triangle austral
HD 125612 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%20125612%20b.jpg,Vierge
HD 40307 e,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2040307%20e.jpg,Peintre
HD 85512 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2085512%20b%20%28Artists%27s%20impression%29.jpg,Voiles
