motorcycle,image,motorcycleLabel,manufacturer,manufacturerLabel
http://www.wikidata.org/entity/Q164244,http://commons.wikimedia.org/wiki/Special:FilePath/Ducati%20ST3%20%28DerHexer%29%202010-10-31%20041.jpg,Ducati ST3,http://www.wikidata.org/entity/Q271812,Ducati Motor Holding
http://www.wikidata.org/entity/Q614992,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BCrgen%20Fuchs%201997%20N%C3%BCrburgring.jpg,ELF 500 ROC,http://www.wikidata.org/entity/Q1505649,Elf Aquitaine
http://www.wikidata.org/entity/Q796522,http://commons.wikimedia.org/wiki/Special:FilePath/BMW%20K100%20RT%20street%20bike.jpg,BMW K 100 RT,http://www.wikidata.org/entity/Q26678,Groupe BMW
http://www.wikidata.org/entity/Q1114415,http://commons.wikimedia.org/wiki/Special:FilePath/Calessino%20Napolitano.jpg,Piaggio Ape Calessino,http://www.wikidata.org/entity/Q841263,Piaggio
http://www.wikidata.org/entity/Q1263361,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20RM%20auctions%20-%2020150204%20-%20Ducati%20Desmosedici%20RR%20G8%20-%202009%20-%20001.jpg,Ducati Desmosedici RR,http://www.wikidata.org/entity/Q271812,Ducati Motor Holding
http://www.wikidata.org/entity/Q1367329,http://commons.wikimedia.org/wiki/Special:FilePath/YAMAHA%20YZF-R7.JPG,Yamaha YZF-R7,http://www.wikidata.org/entity/Q158888,Yamaha
http://www.wikidata.org/entity/Q1971602,http://commons.wikimedia.org/wiki/Special:FilePath/Blechbanane.jpg,Q1971602,http://www.wikidata.org/entity/Q233045,Q233045
http://www.wikidata.org/entity/Q1971602,http://commons.wikimedia.org/wiki/Special:FilePath/Victoria%20Typ115%20rest.%20005.jpg,Q1971602,http://www.wikidata.org/entity/Q233045,Q233045
http://www.wikidata.org/entity/Q2091828,http://commons.wikimedia.org/wiki/Special:FilePath/Gilera%20Eaglet%201999.jpg,Gilera Eaglet,http://www.wikidata.org/entity/Q745394,Gilera
http://www.wikidata.org/entity/Q2903849,http://commons.wikimedia.org/wiki/Special:FilePath/Bimota%20KB1.jpg,Bimota KB1,http://www.wikidata.org/entity/Q863478,Bimota
